Dublin Airport 1971-2000 averages ,,,,,,,,,,,,,
TEMPERATURE (degrees Celsius),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
mean daily max,7.9,8.1,9.8,11.6,14.4,17.2,19.3,19,16.7,13.5,10.2,8.6,13
mean daily min,2.6,2.7,3.6,4.6,7,9.6,11.8,11.5,9.8,7.5,4.4,3.5,6.5
mean temperature,5.2,5.4,6.7,8.1,10.7,13.4,15.5,15.3,13.3,10.5,7.3,6,9.8
absolute max.,16.6,16.2,17.2,20.5,23.4,25.7,27.6,28.7,24,21.2,18,16.2,28.7
min. maximum,-3.8,0.4,1.3,4.4,6.5,10.4,11.7,11.9,10.6,7.5,2.4,-2,-3.8
max. minimum,11.8,11.6,11.5,12.8,13.3,16.6,19,18.2,17.3,15.2,13.2,12.9,19
absolute min. ,-8.8,-5.3,-5.4,-4,-1.6,2.4,4.8,4.1,1.7,-1.1,-3.4,-7.9,-8.8
mean num. of days with air frost ,6.3,4.5,2.8,1.7,0.3,0,0,0,0,0.2,3.2,4.6,23.7
mean num. of days with ground frost ,15.3,13.4,12.2,9.7,3.7,0.2,0,0,0.6,3.4,10,13.1,81.7
mean 5cm soil,3.5,3.3,4.8,8,12.1,15.7,17,15.8,12.9,9.5,5.7,4.3,9.4
mean 10cm soil,3.8,3.7,5,7.7,11.3,14.8,16.3,15.4,12.8,9.7,6.1,4.7,9.3
mean 20cm soil,4.3,4.3,5.7,8.2,11.6,15,16.6,15.9,13.7,10.6,7,5.3,9.9
RELATIVE HUMIDITY (%),,,,,,,,,,,,,
mean at 0900UTC,86.3,85.7,83.2,79.3,76.6,76.5,78.2,80.8,82.8,85.1,87.2,87,82.4
mean at 1500UTC ,80.1,76.5,71,68.6,68.2,68.2,68.7,69.2,71.1,74.6,79,82.4,73.1
SUNSHINE (hours),,,,,,,,,,,,,
mean daily duration ,1.8,2.4,3.3,5.1,6.1,5.7,5.4,5.2,4.3,3.2,2.3,1.5,3.9
greatest daily duration ,8,9.4,11.9,13.4,15.4,15.9,15.4,14.5,12.4,10.4,8.5,6.8,15.9
mean num. of days with no sun ,10.4,7.6,5.4,2.7,2.1,1.8,1.5,1.8,3,5.3,8,11.3,60.9
RAINFALL (mm),,,,,,,,,,,,,
mean monthly total ,68.1,51.4,53.6,52.2,53,60.4,49.8,69,63.5,71.7,65.2,76.7,734.7
greatest daily total ,29.2,21.7,36.8,37.8,34,73.9,38.8,72.2,40,39.1,62.8,42.4,73.9
mean num. of days with >= 0.2mm ,18,15,17,14,15,14,14,15,15,17,16,18,188
mean num. of days with >= 1.0mm ,12,10,11,10,10,10,9,10,10,11,11,12,126
mean num. of days with >= 5.0mm ,4,3,3,3,3,3,3,4,4,4,4,5,43
WIND (knots) ,,,,,,,,,,,,,
mean monthly speed ,12.4,11.9,11.6,9.7,8.7,8.2,8.3,8.1,9,10.1,10.8,11.8,10
max. gust ,75,73,66,59,58,53,54,56,59,69,66,76,76
max. mean 10-minute speed ,48,49,45,41,39,38,34,37,36,51,43,55,55
mean num. of days with gales ,2.4,1.2,1.2,0.1,0.3,0.1,0,0.2,0.2,0.5,0.8,1.6,8.6
WEATHER (mean no. of days with..) ,,,,,,,,,,,,,
snow or sleet ,5.4,4.2,3.7,1.7,0.3,0,0,0,0,0,0.8,2.6,18.7
snow lying at 0900UTC,1.9,0.9,0.2,0,0,0,0,0,0,0,0.1,0.4,3.5
hail ,0.8,0.9,2,2.2,1.5,0.3,0.2,0.1,0.1,0.1,0.3,0.6,9.1
thunder ,0.1,0.1,0.2,0.3,0.7,0.8,0.7,0.8,0.3,0.3,0.2,0.1,4.6
fog,4.1,3.8,3.4,4.4,3.8,2.7,3.7,5.1,4.5,3.6,3.5,3.8,46.5
